"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bhutan","BTN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1199387978.00969","1194495961.23467","1249453423.56887","1274272148.93186","1337367781.15462","1431974746.43095","1511666616.41174","1592901139.32553","1687105803.87025","1821803859.22998","1948109962.39155","2110756776.94934","2342777103.89463","2526059647.93512","2677844055.75501","2872985225.42883","3074086673.9929","3638515238.57687","3813144342.65734","4070468049.81036","4556721929.40219","4920467591.26091","5172316846.84514","5281968555.50985","5587081233.59704","5958188143.83479","6442412083.34748","6742102452.28668","6946229083.05832","",
"Botswana","BWA","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10939638755.1767","11755594587.8638","12098513546.9889","12330334029.1025","12777668192.7795","13675990688.4888","14473273604.3714","15678302574.1024","15747861476.9606","17270245157.5782","17613525104.618","17657659995.5388","18729397119.4727","19595799325.3796","20126026722.9932","21043098445.6593","22803116068.5679","24690476123.114","26232504343.9871","24225111737.6918","26299661097.3845","27890347804.021","29133188338.4828","32437889490.0769","33783831560.235","33210193716.6147","34639473263.0774","35646626728.6181","37234179395.0459","",
"Central African Republic","CAF","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2758064651.57028","2742825158.26184","2566623925.22055","2575229191.15812","2701414118.71645","2895917165.96129","2780077787.1726","2927420131.15062","3065013045.34016","3175352745.78662","3096304484.43941","3234546399.13262","3351525134.36109","3170627060.63767","3360702482.22412","3391224735.54124","3553022964.81216","3716729736.30499","3793076232.59247","4118797566.85745","4309531603.76985","4490299877.39254","4717228912.76527","3000536047.15316","3002968597.18915","3133210979.74821","3282048428.59025","3430635892.0531","3560637904.05524","",
"Canada","CAN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800597577347.519","783896427561.078","790953530163.998","811999669191.166","848494720007.132","871352966399.627","885461673709.287","923359788272.165","949181936755.387","986869040890.392","1035400918620.34","1049953764274.55","1085884716595.71","1127268762623.34","1171390386080.45","1229911420392.23","1281147286956.42","1369144282994.58","1382940091239.73","1342442071138.36","1383916746983.32","1427466965184.4","1452622904946.55","1486471557418.39","1529110309832.9","1539659741581.65","1556705305108.57","1603072799338.01","1633482685667.23","",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362051724429.12","1228998152897.25","1200584314629.37","1220008627039.65","1269637124954.33","1338273752975.96","1395351163699.83","1433947944330.72","1473197618175.43","1499774861343.29","1559744758491.35","1607758301661.56","1666492591336.25","1733974003702.9","1838225561858.57","1928965312417.27","2056764305977.41","2189364022448.72","2280748966407.58","2204136726437.16","2234958100651.31","2307897587062.97","2328104036345.34","2360771339936.18","2433291368520.34","2527861187818.66","2607166498726.61","2734796760957.93","2853141205593.9","",
"Switzerland","CHE","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323565380487.263","320602115135.922","320461906179.425","320058176903.946","324122140281.213","325680895977.982","327439311134.745","335101951807.249","345121112943.902","350970051360.759","364787504187.554","369574500554.689","370175477908.793","370321952654.253","380603188761.466","392459746593.617","408113878049.804","424894572860.858","434049963679.31","424404887625.492","437148910143.125","444548757851.532","449021264268.509","457337297274.715","468538308719.983","474785744653.061","482964637047.499","491655473130.078","505178540406.311","",
"Channel Islands","CHI","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119071217974.426","128364002806.285","142698035835.184","152100100941.09","159751037142.287","174022069944.727","185860646221.311","199666170218.862","208300892478.306","207442492484.507","218492826314.252","225709747741.849","232722483092.65","242243270848.998","259707895654.328","274622479869.477","291970866200.755","306292984643.762","317103689119.271","312143428138.889","330385643496.483","350575241993.673","369221034976.868","384156041711.486","390943079331.527","399949497123.11","406630814145.443","411832367781.309","428407191383.097","",
"China","CHN","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1727710553600.52","1888285284016.74","2156727008911.04","2455812766327.52","2776349346509.51","3080338149129.54","3386165593700.92","3698734725427.14","3988627273086.96","4294454717658.32","4659118704672.26","5047685037053.51","5508571286187.09","6061389632887.22","6674270283330.83","7434855170531.34","8380530014165.82","9573195759929.08","10497419780798","11484157628012.2","12705628764346.3","13919132452224.7","15013124413266.5","16179436291060.7","17360457304465.5","18559251856733.2","19809528383638.1","21148059724206.9","22536847278112.2","",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2011 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39180243995.9358","39196278576.9022","39100419918.063","39025157435.6656","39341732121.4828","42145123522.5276","45402658112.0322","47102330747.2584","49424795773.5775","50224255408.9174","49185416881.5209","49245114163.9515","48423881889.2812","47765541810.0138","48353904780.8949","49186195093.9312","49931780276.2247","50813094564.8564","52105191008.8138","53799367179.4931","54884843973.9869","52476906028.6953","58095348125.8286","63259688377.4398","68822794330.2418","74908697646.2471","80880232639.4653","87109700482.1785","93584626911.0322","",
